DEP,NONPOS,ADJ,ADP,ADV,AUX,CONJ,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X
acl,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advcl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amod,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auxpass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csubj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csubjpass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
det,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dobj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goeswith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iobj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
npadvmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsubj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsubjpass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nummod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oprd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orphan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parataxis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pcomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pobj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preconj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
punct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quantmod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relcl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reparandum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vocative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xcomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
